source_id,claim_type,source_name,source_url,publisher_type,publication_date,accessed_date,geography,procedure_scope,pricing_context,supports,authority_grade,freshness_class,next_review,notes
SRC-DEN003-002,price-context,"Forbes Advisor — Best Dental Insurance for Implants 2026",https://www.forbes.com/advisor/health-insurance/dental-insurance/best-dental-insurance-for-implants/,Secondary consumer/insurance publisher,2026-08-13,2026-09-16,"United States","Generic full-mouth and per-tooth implant out-of-pocket benchmark","Secondary reported benchmark attributed by Forbes to ADA; package methodology not supplied","$3,000–$4,500 per tooth; $20,000–$45,000 for a 'mouthful of implants'","Secondary current consumer source","Time-sensitive price context",2027-03-16,"Use only with explicit scope limitation. Not a per-arch calculator default; do not claim all listed components are included."
SRC-DEN007-001,price,"CareCredit — Dental Bone Graft Cost and Procedure Guide",https://www.carecredit.com/well-u/health-wellness/bone-grafting-cost/,Commercial healthcare financing / cost-study publisher,2025-02-07,2026-09-16,"50 U.S. states and District of Columbia","Dental bone graft by material/type","Publisher-reported average cost per graft from Synchrony procedural-cost research","Allograft $652–$1,575; alloplast $576–$1,375; autograft $2,161–$5,148; xenograft $549–$1,386","Commercial broad cost dataset","Time-sensitive price data",2027-03-16,"Research attributed to 2023–2024 Synchrony studies conducted by ASQ360°. Keep graft types separate. Do not publish sinus-lift pricing on DEN-007."
SRC-DEN007-002,clinical-definition,"American Academy of Periodontology — Ridge Modification",https://www.perio.org/for-patients/periodontal-treatments-and-procedures/dental-implant-procedures/ridge-modification/,Professional dental association,,2026-09-16,"General consumer education","Ridge modification / bone-substitute boundary","Clinical terminology only","Ridge defects can be filled with bone or bone substitute; implant timing varies by individual need","Professional association","Relatively stable clinical definition",2027-09-16,"Boundary context only; no treatment-need inference."
SRC-DEN012-001,price,"CareCredit — All-on-4 Dental Implant Cost and Procedure Guide",https://www.carecredit.com/well-u/health-wellness/all-on-4-dental-implants-cost/,Commercial healthcare financing / cost-study publisher,2026-04-24,2026-09-16,"50 U.S. states and District of Columbia","All-on-4 procedure estimate","Publisher-reported national average/range from 2024 Synchrony study","$15,176 average; $11,640–$27,500 range","Commercial broad cost dataset","Time-sensitive price data",2027-03-16,"Article context describes treatment replacing upper OR lower jaw, but cost sentence does not independently label the range 'per arch'. Confirm quote arch count. Package inclusions such as extraction, graft, imaging, temporary/final bridge and follow-up remain UNKNOWN unless explicitly stated."
SRC-DEN012-002,brand-definition,"Nobel Biocare — All-on-4 treatment concept / trademark terms",https://www.nobelbiocare.com/en-us/all-on-4-treatment-concept,Manufacturer / trademark owner,,2026-09-16,"Global manufacturer / U.S. site","All-on-4 branded concept","Brand/trademark terminology only","All-on-4 is a Nobel Biocare trademark; manufacturer describes fixed full-arch prosthesis on four implants","Manufacturer source","Review on material change",2027-09-16,"Do not use manufacturer superiority, graft-free suitability, survival or candidacy claims as independent evidence."
SRC-GUI001-001,insurance-mechanics,"Cigna — Guide to Dental Implants",https://www.cigna.com/knowledge-center/guide-to-dental-implants,Major insurer educational resource,,2026-09-16,"United States","Implant quote itemization and coverage variability","Plan-specific educational guidance","Implant steps may carry separate costs; check limitations/exclusions; named Cigna plan example has $2,000 lifetime implant maximum","Major insurer educational source","Time-sensitive benefit context",2027-03-16,"Plan example is not universal."
SRC-GUI001-002,insurance-mechanics,"Cigna — Full Coverage Dental Insurance",https://www.cigna.com/knowledge-center/full-coverage-dental-insurance,Major insurer educational resource,,2026-09-16,"United States","General dental-plan mechanics","Educational guidance","Implant benefits are not standard; deductible, waiting period, percentage coverage and lifetime maximum may apply; 'full coverage' does not mean 100%","Major insurer educational source","Review on material change",2027-09-16,"Use general mechanics only."
SRC-GUI001-003,insurance-mechanics,"Delta Dental — What Is a Dental Insurance Annual Maximum?",https://www.deltadental.com/protect-my-smile/dental-insurance-101/what-is-a-dental-insurance-annual-maximum/,Major dental insurer educational resource,,2026-09-16,"United States","Annual maximum definition","Educational guidance","Annual maximum is plan-paid dollar cap per benefit period; Delta says it usually ranges $1,000–$2,000","Major dental insurer educational source","Review on material change",2027-09-16,"Do not assume $1,000–$2,000 for a user's plan; exact plan controls."
SRC-GUI001-004,insurance-mechanics,"Delta Dental — Dental Insurance Deductibles Explained",https://www.deltadental.com/protect-my-smile/dental-insurance-101/dental-insurance-deductibles/,Major dental insurer educational resource,,2026-09-16,"United States","Deductible sequencing","Educational guidance","Deductible is paid before plan begins to pay; coinsurance is determined under plan rules after deductible","Major dental insurer educational source","Review on material change",2027-09-16,"Use for methodology; no universal dollar deductible."
SRC-GUI001-005,coverage-rule,"CMS — Medicare Dental Coverage",https://www.cms.gov/medicare/coverage/dental,U.S. government,,2026-09-16,"United States","Original Medicare dental exclusion and medically linked exceptions","Government program coverage rule","Medicare generally excludes dental services connected to care/removal/replacement of teeth; qualifying dental services inextricably linked to other Medicare-covered services may be payable","Tier 1 government","Policy-sensitive",2027-03-16,"Canonical detail belongs GUI-001. Do not simplify to a blanket 0% statement across medically linked exceptions."
